ID,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,How Dismissed,Opposition,Ground,Start Date,ODI ID
M390,99,158,112,15,1,88.39,2,caught,1,c †M J Prior b A Flintoff,v England,Bristol,24 Aug 2007,ODI # 2613
M391,8,42,19,1,0,42.1,2,caught,2,c P D Collingwood b J M Anderson,v England,Birmingham,27 Aug 2007,ODI # 2616
M392,55,128,86,9,0,63.95,2,caught,1,c A Flintoff b K P Pietersen,v England,Manchester,30 Aug 2007,ODI # 2617
M393,71,87,59,13,0,120.33,2,caught,1,c †M J Prior b J Lewis,v England,Leeds,2 Sep 2007,ODI # 2618
M394,94,120,81,16,1,116.04,2,caught,2,c P D Collingwood b M S Panesar,v England,The Oval,5 Sep 2007,ODI # 2619
M395,30,80,46,4,0,65.21,2,caught,1,c †M J Prior b A Flintoff,v England,Lord's,8 Sep 2007,ODI # 2620
M396,0,9,6,0,0,0,2,lbw,2,lbw b M G Johnson,v Australia,Bengaluru,29 Sep 2007,ODI # 2621
M397,16,43,25,1,1,64,2,caught,2,c A Symonds b S R Clark,v Australia,Kochi,2 Oct 2007,ODI # 2623
M398,43,119,71,6,0,60.56,2,bowled,2,b G B Hogg,v Australia,Hyderabad (Deccan),5 Oct 2007,ODI # 2625
M399,79,184,119,7,0,66.38,2,run out,1,run out,v Australia,Chandigarh,8 Oct 2007,ODI # 2627
M400,47,128,73,9,0,64.38,2,caught,1,c †A C Gilchrist b B Lee,v Australia,Vadodara,11 Oct 2007,ODI # 2629
M401,72,105,72,9,1,100,2,stumped,2,st A C Gilchrist b J R Hopes,v Australia,Nagpur,14 Oct 2007,ODI # 2631
M402,21,52,36,4,0,58.33,2,bowled,2,b B Lee,v Australia,Mumbai,17 Oct 2007,ODI # 2632
M403,4,14,7,1,0,57.14,2,lbw,2,lbw b Shoaib Akhtar,v Pakistan,Guwahati,5 Nov 2007,ODI # 2643
M404,99,130,91,14,1,108.79,2,caught,1,c †Kamran Akmal b Umar Gul,v Pakistan,Mohali,8 Nov 2007,ODI # 2644
M405,29,54,27,5,0,107.4,2,caught,1,c †Kamran Akmal b Sohail Tanvir,v Pakistan,Kanpur,11 Nov 2007,ODI # 2645
M406,97,149,102,16,0,95.09,2,bowled,2,b Umar Gul,v Pakistan,Gwalior,15 Nov 2007,ODI # 2646
M407,30,54,27,6,0,111.11,2,caught,2,c Misbah-ul-Haq b Sohail Tanvir,v Pakistan,Jaipur,18 Nov 2007,ODI # 2647
M408,10,30,17,1,0,58.82,2,hit wicket,1,hit wicket b B Lee,v Australia,Brisbane,3 Feb 2008,ODI # 2670
M409,35,70,52,2,0,67.3,2,bowled,1,b S L Malinga,v Sri Lanka,Brisbane,5 Feb 2008,ODI # 2672
M410,44,123,54,3,0,81.48,2,caught,2,c B Lee b M G Johnson,v Australia,Melbourne,10 Feb 2008,ODI # 2675
M411,32,41,30,4,0,106.66,2,caught,1,c K M D N Kulasekara b M F Maharoof,v Sri Lanka,Canberra,12 Feb 2008,ODI # 2676
M412,5,23,15,1,0,33.33,2,lbw,2,lbw b N W Bracken,v Australia,Adelaide,17 Feb 2008,ODI # 2680
M413,0,6,2,0,0,0,2,bowled,2,b S L Malinga,v Sri Lanka,Adelaide,19 Feb 2008,ODI # 2681
M414,2,3,3,0,0,66.66,2,lbw,2,lbw b B Lee,v Australia,Sydney,24 Feb 2008,ODI # 2685
M415,63,92,54,10,0,116.66,2,caught,2,c L P C Silva b M Muralitharan,v Sri Lanka,Hobart,26 Feb 2008,ODI # 2686
M416,117*,235,120,10,0,97.5,2,not out,2,not out,v Australia,Sydney,2 Mar 2008,ODI # 2688
M417,91,176,121,7,0,75.2,2,caught,1,c R T Ponting b M J Clarke,v Australia,Brisbane,4 Mar 2008,ODI # 2689
M418,11,40,21,2,0,52.38,2,bowled,1,b S C J Broad,v England,Bengaluru,23 Nov 2008,ODI # 2781
M419,50,99,57,6,0,87.71,2,bowled,2,b S J Harmison,v England,Cuttack,26 Nov 2008,ODI # 2783
M420,5,15,16,0,0,31.25,2,lbw,2,lbw b T Thushara,v Sri Lanka,Dambulla,28 Jan 2009,ODI # 2806
M421,6,11,9,0,0,66.66,2,lbw,1,lbw b K M D N Kulasekara,v Sri Lanka,Colombo (RPS),31 Jan 2009,ODI # 2810
M422,7,9,12,0,1,58.33,2,lbw,1,lbw b C R D Fernando,v Sri Lanka,Colombo (RPS),3 Feb 2009,ODI # 2813
M423,20,43,23,2,0,86.95,2,caught,1,c †B B McCullum b I G Butler,v New Zealand,Napier,3 Mar 2009,ODI # 2821
M424,61,100,69,7,1,88.4,2,lbw,1,lbw b D L Vettori,v New Zealand,Wellington,6 Mar 2009,ODI # 2822
M425,163*,206,133,16,5,122.55,2,retired notout,1,retired hurt,v New Zealand,Christchurch,8 Mar 2009,ODI # 2823
M426,46,81,55,6,0,83.63,2,caught,2,c M J Guptill b D L Vettori,v New Zealand,Colombo (RPS),11 Sep 2009,ODI # 2886
M427,27,63,33,5,0,81.81,2,caught,2,c B A W Mendis b K M D N Kulasekara,v Sri Lanka,Colombo (RPS),12 Sep 2009,ODI # 2887
M428,138,214,133,10,1,103.75,2,lbw,1,lbw b B A W Mendis,v Sri Lanka,Colombo (RPS),14 Sep 2009,ODI # 2889
M429,8,19,14,1,0,57.14,2,caught,2,c †Kamran Akmal b Mohammad Amir,v Pakistan,Centurion,26 Sep 2009,ODI # 2898
M430,TDNB,-,-,-,-,-,-,-,-,did not bat,v Australia,Centurion,28 Sep 2009,ODI # 2901
M431,14,40,29,2,0,48.27,2,caught,2,c R T Ponting b S R Watson,v Australia,Vadodara,25 Oct 2009,ODI # 2913
M432,4,14,8,1,0,50,2,caught,1,c C L White b P M Siddle,v Australia,Nagpur,28 Oct 2009,ODI # 2915
M433,32,63,47,2,0,68.08,2,run out,2,run out,v Australia,Delhi,31 Oct 2009,ODI # 2918
M434,40,86,68,6,0,58.82,2,lbw,2,lbw b N M Hauritz,v Australia,Mohali,2 Nov 2009,ODI # 2919
M435,175,210,141,19,4,124.11,2,caught,2,c N M Hauritz b C J McKay,v Australia,Hyderabad (Deccan),5 Nov 2009,ODI # 2923
M436,10,23,17,2,0,58.82,2,caught,1,c & b D E Bollinger,v Australia,Guwahati,8 Nov 2009,ODI # 2925
M437,69,91,63,10,1,109.52,2,bowled,1,b C R D Fernando,v Sri Lanka,Rajkot,15 Dec 2009,ODI # 2932
M438,43,76,52,4,0,82.69,2,stumped,1,st K C Sangakkara b B A W Mendis,v Sri Lanka,Nagpur,18 Dec 2009,ODI # 2933
M439,96*,187,104,13,0,92.3,2,not out,2,not out,v Sri Lanka,Cuttack,21 Dec 2009,ODI # 2934
M440,8,-,8,2,0,100,2,caught,2,c S Randiv b R A S Lakmal,v Sri Lanka,Kolkata,24 Dec 2009,ODI # 2935
M441,4,-,5,1,0,80,2,run out,1,run out,v South Africa,Jaipur,21 Feb 2010,ODI # 2961
M442,200*,226,147,25,3,136.05,2,not out,1,not out,v South Africa,Gwalior,24 Feb 2010,ODI # 2962
M443,7,16,11,0,0,63.63,2,caught,2,c D W Steyn b L L Tsotsobe,v South Africa,Durban,12 Jan 2011,ODI # 3079
M444,24,78,44,2,0,54.54,2,bowled,1,b J Botha,v South Africa,Johannesburg,15 Jan 2011,ODI # 3080
M445,28,46,29,4,0,96.55,2,run out,1,run out,v Bangladesh,Dhaka,19 Feb 2011,ODI # 3100
M446,120,170,115,10,5,104.34,2,caught,1,c M H Yardy b J M Anderson,v England,Bengaluru,27 Feb 2011,ODI # 3110
M447,38,91,56,4,0,67.85,2,lbw,2,lbw b G H Dockrell,v Ireland,Bengaluru,6 Mar 2011,ODI # 3121
M448,27,45,22,6,0,122.72,2,caught,2,c B P Kruger b P M Seelaar,v Netherlands,Delhi,9 Mar 2011,ODI # 3124
M449,111,184,101,8,3,109.9,2,caught,1,c J-P Duminy b M Morkel,v South Africa,Nagpur,12 Mar 2011,ODI # 3128
M450,2,4,4,0,0,50,2,caught,1,c †D C Thomas b R Rampaul,v West Indies,Chennai,20 Mar 2011,ODI # 3141
M451,53,93,68,7,0,77.94,2,caught,2,c †B J Haddin b S W Tait,v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
M452,85,160,115,11,0,73.91,2,caught,1,c Shahid Afridi b Saeed Ajmal,v Pakistan,Mohali,30 Mar 2011,ODI # 3147
M453,18,21,14,2,0,128.57,2,caught,2,c †K C Sangakkara b S L Malinga,v Sri Lanka,Mumbai,2 Apr 2011,ODI # 3148
M454,2,9,6,0,0,33.33,2,caught,2,c R T Ponting b M A Starc,v Australia,Melbourne,5 Feb 2012,ODI # 3231
M455,48,87,63,5,0,76.19,2,bowled,2,b A D Mathews,v Sri Lanka,Perth,8 Feb 2012,ODI # 3233
M456,15,25,24,2,0,62.5,2,caught,2,c †K C Sangakkara b K M D N Kulasekara,v Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
M457,3,21,12,0,0,25,2,caught,2,c X J Doherty b B W Hilfenhaus,v Australia,Brisbane,19 Feb 2012,ODI # 3244
M458,22,33,23,3,0,95.65,2,bowled,2,b K M D N Kulasekara,v Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
M459,14,34,15,2,0,93.33,2,run out,2,run out,v Australia,Sydney,26 Feb 2012,ODI # 3250
M460,39,45,30,5,0,130,2,lbw,2,lbw b S L Malinga,v Sri Lanka,Hobart,28 Feb 2012,ODI # 3251
M461,6,25,19,1,0,31.57,2,caught,1,c D P M D Jayawardene b R A S Lakmal,v Sri Lanka,Dhaka,13 Mar 2012,ODI # 3259
M462,114,205,147,12,1,77.55,2,caught,1,c †Mushfiqur Rahim b Mashrafe Mortaza,v Bangladesh,Dhaka,16 Mar 2012,ODI # 3261
M463,52,93,48,5,1,108.33,2,caught,2,c Younis Khan b Saeed Ajmal,v Pakistan,Dhaka,18 Mar 2012,ODI # 3263
