ID,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,How Dismissed,Opposition,Ground,Start Date,ODI ID
M233,93,157,103,10,0,90.29,1,bowled,2,b Abdul Razzaq,v Pakistan,Hobart,21 Jan 2000,ODI # 1543
M234,41,69,46,5,0,89.13,1,caught,1,c †Moin Khan b Abdul Razzaq,v Pakistan,Adelaide,25 Jan 2000,ODI # 1547
M235,18,45,28,2,0,64.28,1,caught,2,c S C G MacGill b B Lee,v Australia,Adelaide,26 Jan 2000,ODI # 1548
M236,17,19,14,4,0,121.42,1,caught,2,c †Moin Khan b Waqar Younis,v Pakistan,Perth,28 Jan 2000,ODI # 1550
M237,3,23,21,0,0,14.28,2,bowled,1,b D W Fleming,v Australia,Perth,30 Jan 2000,ODI # 1552
M238,26,66,25,4,0,104,2,caught,2,c H S Williams b M Hayward,v South Africa,Kochi,9 Mar 2000,ODI # 1572
M239,21,39,31,3,0,67.74,2,caught,2,c W J Cronje b S M Pollock,v South Africa,Jamshedpur,12 Mar 2000,ODI # 1573
M240,12,48,28,1,0,42.85,2,lbw,1,lbw b S M Pollock,v South Africa,Faridabad,15 Mar 2000,ODI # 1574
M241,122,195,138,12,0,88.4,2,caught,2,c S Elworthy b J H Kallis,v South Africa,Vadodara,17 Mar 2000,ODI # 1575
M242,93,119,89,7,4,104.49,2,caught,2,c S Elworthy b D N Crookes,v South Africa,Nagpur,19 Mar 2000,ODI # 1576
M243,5,10,8,0,0,62.5,2,bowled,1,b S M Pollock,v South Africa,Sharjah,22 Mar 2000,ODI # 1577
M244,11,54,28,1,0,39.28,2,lbw,2,lbw b Shoaib Akhtar,v Pakistan,Sharjah,23 Mar 2000,ODI # 1578
M245,10,23,18,1,0,55.55,2,bowled,2,b Wasim Akram,v Pakistan,Sharjah,26 Mar 2000,ODI # 1580
M246,39,117,68,3,0,57.35,1,run out,1,run out,v South Africa,Sharjah,27 Mar 2000,ODI # 1581
M247,36,55,25,4,2,144,2,caught,2,c Habibul Bashar b Mushfiqur Rahman,v Bangladesh,Dhaka,30 May 2000,ODI # 1597
M248,93,174,95,10,0,97.89,2,caught,2,c D P M D Jayawardene b K Weeraratne,v Sri Lanka,Dhaka,1 Jun 2000,ODI # 1598
M249,25,74,30,4,0,83.33,2,lbw,2,lbw b Abdul Razzaq,v Pakistan,Dhaka,3 Jun 2000,ODI # 1600
M250,25,55,35,4,0,71.42,2,lbw,2,lbw b A O Suji,v Kenya,Nairobi (Gym),3 Oct 2000,ODI # 1630
M251,38,58,37,3,3,102.7,2,caught,1,c D R Martyn b B Lee,v Australia,Nairobi (Gym),7 Oct 2000,ODI # 1633
M252,39,61,50,4,0,78,2,caught,1,c L Klusener b J H Kallis,v South Africa,Nairobi (Gym),13 Oct 2000,ODI # 1638
M253,69,103,83,10,1,83.13,2,run out,1,run out,v New Zealand,Nairobi (Gym),15 Oct 2000,ODI # 1639
M254,101,-,140,3,1,72.14,2,run out,1,run out,v Sri Lanka,Sharjah,20 Oct 2000,ODI # 1640
M255,8,-,15,1,0,53.33,2,caught,1,c †A Flower b H H Streak,v Zimbabwe,Sharjah,22 Oct 2000,ODI # 1644
M256,4,-,10,0,0,40,1,caught,2,c P A Strang b T J Friend,v Zimbabwe,Sharjah,26 Oct 2000,ODI # 1648
M257,61,-,54,7,0,112.96,2,caught,2,c W P U J C Vaas b M Muralitharan,v Sri Lanka,Sharjah,27 Oct 2000,ODI # 1650
M258,5,-,11,0,0,45.45,2,caught,2,c & b W P U J C Vaas,v Sri Lanka,Sharjah,29 Oct 2000,ODI # 1652
M259,44,90,49,7,0,89.79,2,caught,2,c H H Streak b D P Viljoen,v Zimbabwe,Cuttack,2 Dec 2000,ODI # 1656
M260,8,27,20,0,0,40,1,caught,1,c †A Flower b T J Friend,v Zimbabwe,Ahmedabad,5 Dec 2000,ODI # 1657
M261,146,200,153,15,2,95.42,2,caught,1,c M L Nkala b H H Streak,v Zimbabwe,Jodhpur,8 Dec 2000,ODI # 1658
M262,62,113,86,9,0,72.09,2,lbw,2,lbw b T J Friend,v Zimbabwe,Kanpur,11 Dec 2000,ODI # 1659
M263,27,38,38,5,0,71.05,2,bowled,1,b M L Nkala,v Zimbabwe,Rajkot,14 Dec 2000,ODI # 1660
M264,35,47,26,6,1,134.61,2,run out,1,run out,v Australia,Bengaluru,25 Mar 2001,ODI # 1696
M265,32,35,29,6,1,110.34,2,caught,1,c D S Lehmann b D W Fleming,v Australia,Pune,28 Mar 2001,ODI # 1698
M266,139,197,125,19,0,111.2,2,caught,1,c D W Fleming b G D McGrath,v Australia,Indore,31 Mar 2001,ODI # 1699
M267,62,68,38,11,0,163.15,2,caught,2,c S R Waugh b N W Bracken,v Australia,Visakhapatnam,3 Apr 2001,ODI # 1700
M268,12,17,15,2,0,80,2,caught,1,c †A C Gilchrist b N W Bracken,v Australia,Margao,6 Apr 2001,ODI # 1701
